house,state,mp_name,allocated_amount,constituency,elected_nominated,total_calamity_donated,calamity_count,true_budget
LS,Maharashtra,Aashtikar Patil Nagesh Bapurao,190289442.0,HINGOLI,,0.0,0,190289442.0
LS,Jammu And Kashmir,Abdul Rashid Sheikh,154773472.11,BARAMULLAH,,0.0,0,154773472.11
LS,Bihar,Abhay Kumar Sinha,147000000.0,AURANGABAD_BR,,0.0,0,147000000.0
LS,West Bengal,Abhijit Gangopadhyay,147000000.0,TAMLUK,,0.0,0,147000000.0
LS,West Bengal,Abu Taher Khan,147000000.0,MURSHIDABAD,,0.0,0,147000000.0
LS,West Bengal,Adhikari Soumendu,147000000.0,KANTHI,,0.0,0,147000000.0
LS,Uttar Pradesh,Aditya Yadav,147000000.0,BADAUN,,0.0,0,147000000.0
LS,Kerala,Adv Adoor Prakash,147000000.0,ATTINGAL,,0.0,0,147000000.0
LS,Kerala,Adv Dean Kuriakose,147000000.0,IDUKKI,,0.0,0,147000000.0
LS,Maharashtra,Adv Gowaal Kagada Padavi,147816309.11,NANDURBAR(ST),,0.0,0,147816309.11
LS,Kerala,Adv K Francis George,188722256.11,KOTTAYAM,,0.0,0,188722256.11
LS,Uttar Pradesh,Afzal Ansari,220500000.0,GHAZIPUR,,0.0,0,220500000.0
LS,Jammu And Kashmir,Aga Syed Ruhullah Mehdi,147000000.0,SRINAGAR,,0.0,0,147000000.0
LS,Uttarakhand,Ajay Bhatt,147000000.0,NAINITAL UDHAM SINGH NAG.,,0.0,0,147000000.0
LS,Bihar,Ajay Kumar Mandal,147000000.0,BHAGALPUR,,0.0,0,147000000.0
LS,Uttarakhand,Ajay Tamta,147000000.0,ALMORA(SC),,0.0,0,147000000.0
LS,Uttar Pradesh,Ajendra Singh Lodhi,147000000.0,HAMIRPUR_UP,,0.0,0,147000000.0
LS,Uttar Pradesh,Akhilesh Yadav,147000000.0,KANNAUJ,,0.0,0,147000000.0
LS,Uttar Pradesh,Akshaya Yadav,147000000.0,FIROZABAD,,0.0,0,147000000.0
LS,Manipur,Alfred Kanngam S Arthur,147000000.0,OUTER MANIPUR(ST),,0.0,0,147000000.0
LS,Bihar,Alok Kumar Suman,147000000.0,GOPALGANJ (SC),,0.0,0,147000000.0
LS,Madhya Pradesh,Alok Sharma,147000000.0,BHOPAL,,0.0,0,147000000.0
LS,Maharashtra,Amar Sharadrao Kale,147000000.0,WARDHA,,0.0,0,147000000.0
LS,Assam,Amarsing Tisso,147000000.0,Diphu (ST),,0.0,0,147000000.0
LS,Andhra Pradesh,Ambica G Lakshminarayana Valmiki,201899064.11,ANANTAPUR,,0.0,0,201899064.11
