state,vendor_name,canonical_vendor
Andaman And Nicobar Islands,CSE CONSTRUCTION PVT LTD,CSE CONSTRUCTION PVT LTD
Andaman And Nicobar Islands,RAMESH CONSTRUCTION,RAMESH CONSTRUCTION
Andaman And Nicobar Islands,HANEEFA CONSTRUCTION,HANEEFA CONSTRUCTION
Andaman And Nicobar Islands,SK CONSTRUCTION AND ENGINEERS,SK CONSTRUCTION AND ENGINEERS
Andaman And Nicobar Islands,SULATA BAROI,SULATA BAROI
Andaman And Nicobar Islands,PANKAJ ROY,PANKAJ ROY
Andaman And Nicobar Islands,RAKIB CONSTRUCTION,RAKIB CONSTRUCTION
Andaman And Nicobar Islands,RAVI REALCON PVT LTD,RAVI REALCON PVT LTD
Andhra Pradesh,TIPULURI CONSTRUCTIONS,TIPULURI CONSTRUCTIONS
Andhra Pradesh,KUNISETTY KASHI VISWANATHA REDDY,KUNISETTY KASHI VISWANATHA REDDY
Andhra Pradesh,BUDIDA SIVAPRASAD,BUDIDA SIVAPRASAD
Andhra Pradesh,ANDHRA PRADESH MEDTECH ZONE LTD,ANDHRA PRADESH MEDTECH ZONE LTD
Andhra Pradesh,IMMALRAJU VENKATASATYA NARAYANARAJU,IMMALRAJU VENKATASATYA NARAYANARAJU
Andhra Pradesh,UMA MAHESWARA RAO B,UMA MAHESWARA RAO B
Andhra Pradesh,KALIGI RAMU,KALIGI RAMU
Andhra Pradesh,CHEEPURAPALLI GOVINDA,CHEEPURAPALLI GOVINDA
Andhra Pradesh,BADIREDDY CHANDRA RAO,BADIREDDY CHANDRA RAO
Andhra Pradesh,GANDAM SUDHAKAR,GANDAM SUDHAKAR
Andhra Pradesh,PALEPU VISHNU PHANI SRIKANTH,PALEPU VISHNU PHANI SRIKANTH
Andhra Pradesh,LAKSHMI AUTOMOTIVES INDIA PVT LTD,LAKSHMI AUTOMOTIVES INDIA PVT LTD
Andhra Pradesh,GANNI SURYA PRABHAKAR CHOWDARY,GANNI SURYA PRABHAKAR CHOWDARY
Andhra Pradesh,PENTA RAVI PRASAD,PENTA RAVI PRASAD
Andhra Pradesh,SRI SAI SAMHITA CONSTRUCTIONS,SRI SAI SAMHITA CONSTRUCTIONS
Andhra Pradesh,SAGI CONSTRUCTIONS,SAGI CONSTRUCTIONS
Andhra Pradesh,PALLI KUMAR RAJA,RAJANI KUMAR MANDALA
Andhra Pradesh,RAJANI KUMAR MANDALA,RAJANI KUMAR MANDALA
Andhra Pradesh,KAMMILI KUMAR RAJA,RAJANI KUMAR MANDALA
Andhra Pradesh,SRIVATSAVAI SATYA LAVAN VARMA,SRIVATSAVAI SATYA LAVAN VARMA
Andhra Pradesh,GALIDEVARA SATYA NARAYANA MURTHY,GALIDEVARA SATYA NARAYANA MURTHY
Andhra Pradesh,MOPURI MOHAN DURGA,MOPURI MOHAN DURGA
Andhra Pradesh,DUNABOYINA BABULU,DUNABOYINA BABULU
Andhra Pradesh,ADAPA THAMMANNA NAIDU,ADAPA THAMMANNA NAIDU
Andhra Pradesh,KANTAMSETTI AYYAPPA SWAMY,KANTAMSETTI AYYAPPA SWAMY
Andhra Pradesh,SAGI VEERA VENKATA SATYA SAIBABA VARMA,SAGI VEERA VENKATA SATYA SAIBABA VARMA
Andhra Pradesh,AHMED MEERA MOHIDDIN,AHMED MEERA MOHIDDIN
Andhra Pradesh,NALLA KRISHNA CHAITANYA,NALLA KRISHNA CHAITANYA
Andhra Pradesh,M ANJENAYA REDDY,M ANJENAYA REDDY
Andhra Pradesh,JALEM RAMBABU,JALEM RAMBABU
Andhra Pradesh,BONTHU BALAKRISHNA,BONTHU BALAKRISHNA
Andhra Pradesh,N BALAKRISHNA,BONTHU BALAKRISHNA
Andhra Pradesh,NETTAM BALAKRISHNA,BONTHU BALAKRISHNA
Andhra Pradesh,KUNA BALAKRISHNA,BONTHU BALAKRISHNA
Andhra Pradesh,KOLLATI VEERA SWAMY NAIDU,KOLLATI VEERA SWAMY NAIDU
Andhra Pradesh,NALLA SIVA PRASAD,NALLA SIVA PRASAD
Andhra Pradesh,MOPURI SRINIVASA RAO,MOPARTHY SRINIVASA RAO
Andhra Pradesh,MOPARTHY SRINIVASA RAO,MOPARTHY SRINIVASA RAO
Andhra Pradesh,EXECUTIVE ENGINEER OPERATION APEPDCL KAKINADA,EXECUTIVE ENGINEER OPERATION APEPDCL KAKINADA
Andhra Pradesh,NALLA SRINIVASA RAO,DASARI VENKATA SRINIVASA RAO
Andhra Pradesh,VEJANDLA EKAMBARESWARA RAO,DASARI VENKATA SRINIVASA RAO
Andhra Pradesh,TUMMALA SRINIVASA RAO,DASARI VENKATA SRINIVASA RAO
Andhra Pradesh,ABBURI SRINIVASA RAO,DASARI VENKATA SRINIVASA RAO
Andhra Pradesh,MARPINA SRINIVASA RAO,DASARI VENKATA SRINIVASA RAO
Andhra Pradesh,ALTI SRINIVASA RAO,DASARI VENKATA SRINIVASA RAO
Andhra Pradesh,DASARI VENKATA SRINIVASA RAO,DASARI VENKATA SRINIVASA RAO
Andhra Pradesh,SRINIVASA RAO MOTHUKURI,DASARI VENKATA SRINIVASA RAO
Andhra Pradesh,SRINIVASA RAO YARLAGADDA,DASARI VENKATA SRINIVASA RAO
Andhra Pradesh,VENKATESWARA RAO GANESANA,DASARI VENKATA SRINIVASA RAO
Andhra Pradesh,SRI J VENKATA GIRI DHARA RAO,DASARI VENKATA SRINIVASA RAO
Andhra Pradesh,PINDI UMA LAKSHMANA KUMAR,PINDI UMA LAKSHMANA KUMAR
Andhra Pradesh,K V SIVARAMAKRISHNA,K V SIVARAMAKRISHNA
Andhra Pradesh,REKHAPALLI VEERA VENKATA KRISHNARJUNARAO,REKHAPALLI VEERA VENKATA KRISHNARJUNARAO
Andhra Pradesh,CR ASSOCIATES,CR ASSOCIATES
Andhra Pradesh,K SREENIVASA REDDY AND CO,K SREENIVASA REDDY AND CO
Andhra Pradesh,SREE MURUGAN CONSTRUCTION,SREE MURUGAN CONSTRUCTION
Andhra Pradesh,GRAMONNATI,GRAMONNATI
Andhra Pradesh,CHADARAM VENKATA RAMANA,CHADARAM VENKATA RAMANA
Andhra Pradesh,M SATYARAO AND CO,M SATYARAO AND CO
Andhra Pradesh,PRO LITE INDIA,PRO LITE INDIA
Andhra Pradesh,ALLAMPALLI SURIBABU,ALLAMPALLI SURIBABU
Andhra Pradesh,ADI SATYANARAYANA,ADI SATYANARAYANA
Andhra Pradesh,SRI NELCO ENTERPRISES,SRI NELCO ENTERPRISES
Andhra Pradesh,MS NNR INFRASTRUCTURE,MS NNR INFRASTRUCTURE
Andhra Pradesh,HARISH INFRA PROJECTS,HARISH INFRA PROJECTS
Andhra Pradesh,VANAM KRISHNA,VANAM KRISHNA
Andhra Pradesh,TALARI OBULESU,TALARI OBULESU
Andhra Pradesh,KUMMATHI NARAYANA REDDY,KUMMATHI NARAYANA REDDY
Andhra Pradesh,PRAVEENA YENNAPUSALA,PRAVEENA YENNAPUSALA
Andhra Pradesh,B JAYA PRAKASH,B JAYA PRAKASH
Andhra Pradesh,SRI VINAYAKA CONSTRUCTIONS,SRI VINAYAKA CONSTRUCTIONS
Andhra Pradesh,K THARUN KUMAR,K THARUN KUMAR
Andhra Pradesh,PASUPARTHI HAREESH,PASUPARTHI HAREESH
Andhra Pradesh,ANANTHA GIRI BABU,ANANTHA GIRI BABU
Andhra Pradesh,JANGAM SURYANARAYANA,JANGAM SURYANARAYANA
Andhra Pradesh,VYSNAVI INFRA,VYSNAVI INFRA
Andhra Pradesh,BOMMINENI RAMANJINEYULU,BOMMINENI RAMANJINEYULU
Andhra Pradesh,BOYA SREENIVASULU,BOYA SREENIVASULU
Andhra Pradesh,M PRABAKAR REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,P PARTHA REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,P VENKATARMI REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,KODURU RAJESH REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,VELUTHURLA BUJJI REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,C RAJA REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,VENKATA SUBBA REDDY POTHIREDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,P C VENKATA SUBBA REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,B DAKSHINESWARA REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,KOTTALA RAMI REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,P V PRASADA REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,DEVA GANAPATHI REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,N VENKATESWARA REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,RAVI KUMAR REDDY BADEPALLI,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,M RAMESH REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,D MOHAN REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,N KAMALAKAR REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,BARAKAM RAVI KUMAR REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,M CHENCHI REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,D GANAPATHI REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,T SAI SUMANTH REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,MR VENKATA SUBBA REDDY SURAM,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,DWARAKANATH REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,TN MOHAN REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,D RAGHU RAMI REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,BOYILLA VENKATESWARLU REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,G PRATHAP REDDY,VENKATA SUBBA REDDY POTHIREDDY
Andhra Pradesh,YEDAV CHANDRA SEKHAR,CHANDRA SEKHAR VADLA GURUMURTHY
Andhra Pradesh,CHANDRA SEKHAR VADLA GURUMURTHY,CHANDRA SEKHAR VADLA GURUMURTHY
Andhra Pradesh,RAPUR CHANDRA SEKHAR,CHANDRA SEKHAR VADLA GURUMURTHY
Andhra Pradesh,PANNELA CHANDRA SEKHAR,CHANDRA SEKHAR VADLA GURUMURTHY
Andhra Pradesh,G CHANDRA SEKHAR,CHANDRA SEKHAR VADLA GURUMURTHY
Andhra Pradesh,YELUGOTI CHANDRA SEKHAR REDDY,CHANDRA SEKHAR VADLA GURUMURTHY
Andhra Pradesh,PATNAM NAGESH,PATNAM NAGESH
Andhra Pradesh,S KHALENDAR BASHA,S KHALENDAR BASHA
Andhra Pradesh,MANAGING DIRECTOR APMSIDC,MANAGING DIRECTOR APMSIDC
Andhra Pradesh,KONDETI VIJAYABHASKAR,KONDETI VIJAYABHASKAR
Andhra Pradesh,PACHHA AJAY,PACHHA AJAY
Andhra Pradesh,PMKR BIKES LLP,PMKR BIKES LLP
Andhra Pradesh,MOOD BADRINAIK,MOOD BADRINAIK
Andhra Pradesh,PUSALAPATI CHINNA KONDAIAH,PUSALAPATI CHINNA KONDAIAH
Andhra Pradesh,SD ENTERPRISES,SD ENTERPRISES
Andhra Pradesh,RAGHAVA ENTERPRISES,RAGHAVA ENTERPRISES
Andhra Pradesh,SRI SAI LAKSHMI CONSTRUCTIONS,SRI SAI LAKSHMI CONSTRUCTIONS
Andhra Pradesh,GUMMA SYAMASUNDARARAO,GUMMA SYAMASUNDARARAO
Andhra Pradesh,KUNISETTI SURIBABU,KUNISETTI SURIBABU
Andhra Pradesh,MALLURI SREELAKSHMI,MALLURI SREELAKSHMI
Andhra Pradesh,ATCHUTA RAO REDDI,ATCHUTA RAO REDDI
Andhra Pradesh,CHITIKELA VEERA VENKATA MOHAN BABU,CHITIKELA VEERA VENKATA MOHAN BABU
Andhra Pradesh,BALAGA SRIRAMULU,BALAGA SRIRAMULU
Andhra Pradesh,TAVITI NAIDU REDDY,TAVITI NAIDU REDDY
Andhra Pradesh,MS SOWMYA SRI CONSTRUCTIONS,MS SOWMYA SRI CONSTRUCTIONS
Andhra Pradesh,GUDUPURU GANGAYYA,GUDUPURU GANGAYYA
Andhra Pradesh,PALAVALASA RAVIKUMAR,PALAVALASA RAVIKUMAR
Andhra Pradesh,THE VLC CHAIRMAN DEVARAPALLI BASKI,THE VLC CHAIRMAN DEVARAPALLI BASKI
Andhra Pradesh,PAMPANA  NAGARAJU,PAMPANA  NAGARAJU
Andhra Pradesh,SENAPATI VENKATA PRASAD,SENAPATI VENKATA PRASAD
Andhra Pradesh,SRI MAHALAKSHMI SC LABOUR CONTRACT MUTUALLY AIDED COOPERATIVE SOCIETY LTD,SRI MAHALAKSHMI SC LABOUR CONTRACT MUTUALLY AIDED COOPERATIVE SOCIETY LTD
Andhra Pradesh,G SATYANARAYANA,G SATYANARAYANA
Andhra Pradesh,MSMODAMAMBA CONSTRUCTIONS,MSMODAMAMBA CONSTRUCTIONS
Andhra Pradesh,MS SRI SIRI CONSTRUCTIONS,MS SRI SIRI CONSTRUCTIONS
Andhra Pradesh,GOTTUMUKKALA SURYA NARAYANA RAJU,GOTTUMUKKALA SURYA NARAYANA RAJU
Andhra Pradesh,MS LAKSHMI NRUSIMHA ENGINEERS AND CONTRACTORS,MS LAKSHMI NRUSIMHA ENGINEERS AND CONTRACTORS
Andhra Pradesh,CHINTAPALLI DURGA RAGHUNATH,CHINTAPALLI DURGA RAGHUNATH
Andhra Pradesh,PALASI PENTAIAH,PALASI PENTAIAH
Andhra Pradesh,V N CHAITANYA,V N CHAITANYA
Andhra Pradesh,VICE PRESIDENT VTDA BALLERUGUDA,VICE PRESIDENT VTDA BALLERUGUDA
Andhra Pradesh,TOTTADI MANIKANTA,TOTTADI MANIKANTA
Andhra Pradesh,KUNDANGI POTTESU,KUNDANGI POTTESU
Andhra Pradesh,UDAY KIRAN PROJECTS,UDAY KIRAN PROJECTS
Andhra Pradesh,MEMBER WORKS COMMITTE GP PETERU,MEMBER WORKS COMMITTE GP PETERU
Andhra Pradesh,MEMBER GPC GUDAVALI,MEMBER GPC GUDAVALI
Andhra Pradesh,PANTANI NARESH KUMAR,PANTANI NARESH KUMAR
Andhra Pradesh,MEMBER HWC THURPPALEM,MEMBER HWC THURPPALEM
Andhra Pradesh,SEETHA REMI REDDY,SEETHA REMI REDDY
Andhra Pradesh,MANDAVA SWAMULU,MANDAVA SWAMULU
Andhra Pradesh,VEMURI TIRUMALA RAO,VEMURI TIRUMALA RAO
Andhra Pradesh,KAKARLAPUDI SRINIVASA RAJU,KAKARLAPUDI SRINIVASA RAJU
Andhra Pradesh,GORANTLA RAJESH BABU,GORANTLA RAJESH BABU
Andhra Pradesh,KATI KISHORE,KATI KISHORE
Andhra Pradesh,KRISHAN KISHORE PARCHURU,KRISHAN KISHORE PARCHURU
Andhra Pradesh,SS PLAY FIT AND GYM,SS PLAY FIT AND GYM
Andhra Pradesh,JR WORKS,JR WORKS
Andhra Pradesh,KATTA PRASANNA KUMAR,KATTA PRASANNA KUMAR
Andhra Pradesh,GADDAM SRINIVASA PRASAD,GADDAM SRINIVASA PRASAD
Andhra Pradesh,SAHARA INFRASTRUCTURES,SAHARA INFRASTRUCTURES
Andhra Pradesh,EHIKA GROUPS,EHIKA GROUPS
Andhra Pradesh,Y G LAKSHMI DURGA,Y G LAKSHMI DURGA
Andhra Pradesh,MR NARESH GANDHAMANENI,MR NARESH GANDHAMANENI
Andhra Pradesh,MR REDDEPPA T,MR REDDEPPA T
Andhra Pradesh,P KISHORE,P KISHORE
Andhra Pradesh,VASUDEVA NAIDU KOLLU,VASUDEVA NAIDU KOLLU
Andhra Pradesh,SIVA KUMAR AGGI,SIVA KUMAR AGGI
Andhra Pradesh,NANGI RAJESH KUMAR REDDY,NANGI RAJESH KUMAR REDDY
Andhra Pradesh,CHEJARLA BHASKAR REDDY,NANGI RAJESH KUMAR REDDY
Andhra Pradesh,NANDALUR BHASKAR REDDY,NANGI RAJESH KUMAR REDDY
Andhra Pradesh,CHEJARLA SURESH REDDY,NANGI RAJESH KUMAR REDDY
Andhra Pradesh,G BHASKAR REDDY,NANGI RAJESH KUMAR REDDY
Andhra Pradesh,G NAGABHUSHANA REDDY,NANGI RAJESH KUMAR REDDY
Andhra Pradesh,MR K DHARANI PRAKASH,MR K DHARANI PRAKASH
Andhra Pradesh,G SUDHAKAR,G SUDHAKAR
Andhra Pradesh,VIJAYALAKSHMI KAMASANI,VIJAYALAKSHMI KAMASANI
Andhra Pradesh,PRESIDENT HWC THELLAGUNDLAPALLI,PRESIDENT HWC THELLAGUNDLAPALLI
Andhra Pradesh,SAI MANJULA AGENCIES,SAI MANJULA AGENCIES
Andhra Pradesh,S ANANDA NAIDU,S ANANDA NAIDU
Andhra Pradesh,KUMMARA BABU,KUCHIPUDI BANGARU BABU
Andhra Pradesh,KUCHIPUDI BANGARU BABU,KUCHIPUDI BANGARU BABU
Andhra Pradesh,K RAMESH NAIDU,K RAMESH NAIDU
Andhra Pradesh,P KRISHNA MURTHY,P KRISHNA MURTHY
Andhra Pradesh,MADHIRAJU RAMABADRA RAJU,MADHIRAJU RAMABADRA RAJU
Andhra Pradesh,R MESHACK,R MESHACK
Andhra Pradesh,SRI SESHACHALA CONSTRUCTIONS,SRI SESHACHALA CONSTRUCTIONS
Andhra Pradesh,B LEELARANI,B LEELARANI
Andhra Pradesh,SIVA BALAJI CONSTRUCTIONS,SIVA BALAJI CONSTRUCTIONS
Andhra Pradesh,ETHAMUKKALA RAMBABU,ETHAMUKKALA RAMBABU
Andhra Pradesh,GADUPURINARASIMHULU JADADEESWARANAIDU,GADUPURINARASIMHULU JADADEESWARANAIDU
Andhra Pradesh,PRESIDENT VILLAGE WORKS COMMITTEE ELLAPALLE,PRESIDENT VILLAGE WORKS COMMITTEE ELLAPALLE
Andhra Pradesh,ANURADHA PUNNAKU,ANURADHA PUNNAKU
Andhra Pradesh,Y HARI BABU,Y HARI BABU
Andhra Pradesh,K L M CONSTRUCTIONS,K AND B CONSTRUCTIONS
Andhra Pradesh,B K M CONSTRUCTIONS,K AND B CONSTRUCTIONS
Andhra Pradesh,K AND B CONSTRUCTIONS,K AND B CONSTRUCTIONS
